SAMPLE_ID,SAMPLE_NAME,IGSN,SAMPLE_TYPE,LATITUDE,LONGITUDE,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,ROCK NAME,REFERENCE,METHOD,EXPEDITION ID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,V2O3,V2O5,Fe,Sr87_Sr86,Sr87_Sr86(I),Rb87_Sr86,E_Sr,Nd143_Nd144,Sm147_Nd144,E_Nd,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Hf176_Hf177,Lu176_Hf177,E_Hf,Re187_Os188,Os187_Os188,Os187_Os188(I),Be9,Be10,Be10_Be9,Sr87_Sr86(T),E_Tl,Ar40,Ar40_RG,Ar40_Ar36,Ar40_Ar39,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,CO2,F,Cl,Pa231,U234_U238_ACTIVITY,U238_Th230,U238_Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pa231_U235_ACTIVITY,Pb210,U238_Th230_ACTIVITY,Ag,As,Au,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,Hg,K,Li,Mo,Na,Nb,Ni,Os,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Zr,DELTA_B11,DELTA_D,DELTA_O18,AB[EM],AN[EM],OR[EM],FO[EM],FA[EM],EN[EM],FS[EM],WO[EM],TEMP,Age,OL[MODE],CPX[MODE],OPX[MODE],PLAG[MODE],OPAQ[MODE],MT[MODE],GM[MODE],VES[MODE],AMPH[MODE],FETI-OX[MODE],HORN[MODE],OX[MODE],PYR,SP[MODE],TI-MT[MODE]
PETDB-2518-WESTDAHL SAR 04,SAR 4,,Whole Rock,54.5164,-164.6497,,,VOLCANIC_ARC,TRACHYANDESITE,"YOGODZINSKI, 2010[2518]",MC-ICP-MS[71550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,0.283148,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2518-WESTDAHL SAR 11,SAR 11,,Whole Rock,54.5164,-164.6497,,,VOLCANIC_ARC,BASALTIC ANDESITE,"YOGODZINSKI, 2010[2518]",CALC[71551],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,0.283154,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2518-YUNASKA FM1 2,FM1 2,,Whole Rock,52.6314,-170.6969,,,VOLCANIC_ARC,ANDESITE,"YOGODZINSKI, 2010[2518]",CALC[71551],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,0.283141,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-01NYO-10,01NYO-10,,Inclusion,53.39973,-168.18058,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",SIMS[62005],,50.08,1.1,15.81,0.43,,,,10.25,0.01,0.19,4.96,11.59,,2.79,0.45,0.16,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,204.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,,,,,,,,,,,,93.7,,80.3,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-03JLOKGATES2D,03JLOKGATES2D,,Mineral,53.4283,-168.1344,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[68045],,38.34,0.03,0.06,0.03,,,,23.83,0.07,0.46,37.85,0.28,,2.65,1.38,0.31,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,338.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-03OK33-1-JEB,03OK33-1-JEB,,Mineral,53.4283,-168.1344,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[68045],,38.62,0.02,0.05,0.04,,,,20.37,0.06,0.4,39.5,17.83,,1.0,0.04,0.16,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,321.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.0,,,,,,,,,,,,,,,,,,,,89.1,,77.7,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04KW-001,04AUKW-001,,Whole Rock,59.24115,-153.32889,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,55.44,0.68,17.1,,,,,6.82,,0.14,5.43,8.7,,3.25,0.66,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-01,04MZAU-01,,Whole Rock,59.24115,-153.26456,-17.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,57.95,0.65,17.05,,,,,6.03,,0.13,4.24,8.07,,3.44,0.82,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-02,04MZAU-02,,Whole Rock,59.23996,-153.26194,-40.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,58.52,0.59,16.85,,,,,5.83,,0.13,4.07,7.59,,3.57,0.85,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-04,04MZAU-04,,Whole Rock,59.24392,-153.25687,-11.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,56.81,0.66,16.83,,,,,6.7,,0.14,5.46,8.68,,3.22,0.67,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-05,04MZAU-05,,Whole Rock,59.24392,-153.25687,-11.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,58.58,0.63,16.39,,,,,6.37,,0.13,5.16,8.36,,3.35,0.67,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-06,04MZAU-06,,Whole Rock,59.21791,-153.32889,-1.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,59.29,0.59,17.17,,,,,5.74,,0.13,4.29,7.6,,3.54,0.9,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-07,04MZAU-07,,Whole Rock,59.21791,-153.32889,-1.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,58.28,0.61,17.18,,,,,6.11,,0.14,4.66,8.2,,3.55,0.78,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-04MZAU-08,04MZAU-08,,Whole Rock,59.21791,-153.32889,-1.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,60.04,0.54,17.74,,,,,5.2,,0.11,3.73,7.52,,3.77,0.89,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-04,05AKTAP-04,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,57.86,1.01,18.33,,,,,7.63,,0.2,2.32,7.41,,4.42,0.97,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-06,05AKTAP-06,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,58.94,1.05,16.8,,,,,7.83,,0.21,2.26,6.52,,4.76,1.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-08,05AKTAP-08,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,54.44,1.18,17.56,,,,,10.02,,0.22,3.91,8.89,,3.75,0.65,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-09,05AKTAP-09,,Inclusion,54.16622,-165.94875,-385.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[64053],,51.58,0.61,1.73,0.03,,,,34.65,,0.79,28.33,0.26,,0.32,1.31,0.4,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,698.0,1478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-12,05AKTAP-12,,Inclusion,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",SIMS[62005],,50.64,2.35,12.76,0.01,,,,34.2,,0.85,29.65,0.22,,0.0,0.98,2.22,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-14,05AKTAP-14,,Inclusion,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",SIMS[62005],,59.62,1.64,13.97,0.01,,,,9.71,,0.28,2.22,5.5,,4.1,1.68,0.17,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,617.0,1905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-15,05AKTAP-15,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,51.81,0.97,16.91,,,,,8.95,,0.17,6.13,9.95,,3.08,1.16,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-16,05AKTAP-16,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,53.03,0.98,16.88,,,,,9.12,,0.17,6.21,10.17,,3.09,1.27,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-17,05AKTAP-17,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,48.86,0.88,17.24,,,,,10.43,,0.19,7.93,11.75,,2.28,0.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-18,05AKTAP-18,,Inclusion,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[64053],,55.15,1.33,15.29,0.01,,,,23.67,0.03,0.43,37.29,6.47,,3.84,1.14,0.27,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,499.0,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,,,,,43.4,,70.6,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-22,05AKTAP-22,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,52.35,1.12,17.76,,,,,9.98,,0.24,3.84,8.59,,3.9,1.11,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-23,05AKTAP-23,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,53.02,1.51,15.77,,,,,11.5,,0.21,3.88,8.1,,3.98,1.55,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-24,05AKTAP-24,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,49.62,2.66,13.24,,,,,10.95,,0.17,6.97,11.26,,2.19,0.52,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-26,05AKTAP-26,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,50.27,1.0,17.83,,,,,10.64,,0.19,6.53,10.98,,2.49,0.61,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AKTAP-28,05AKTAP-28,,Whole Rock,54.151,-165.78167,-410.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,57.22,1.01,16.86,,,,,7.52,,0.16,2.2,7.19,,4.13,2.11,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AUNY-10,05AUNY-10,,Mineral,59.34162,-153.41338,-821.0,,VOLCANIC_ARC,HYALOCLASTITE,"ZIMMER, 2010[2519]",EMP[68045],,38.95,0.01,0.12,0.02,,,,13.85,0.06,0.34,47.3,0.13,,2.22,0.42,0.18,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,512.0,3945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896.0,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AUNY-11,05AUNY-11,,Whole Rock,59.34162,-153.41338,-821.0,,VOLCANIC_ARC,HYALOCLASTITE,"ZIMMER, 2010[2519]",XRF[71976],,54.04,0.59,15.03,,,,,7.9,,0.17,8.27,11.17,,2.34,0.37,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AUNY-14,05AUNY-14,,Whole Rock,59.34162,-153.41338,-821.0,,VOLCANIC_ARC,HYALOCLASTITE,"ZIMMER, 2010[2519]",XRF[71976],,54.25,0.59,15.4,,,,,7.8,,0.17,8.08,10.79,,2.43,0.38,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05AUNY-17,05AUNY-17,,Mineral,59.34162,-153.41338,-821.0,,VOLCANIC_ARC,HYALOCLASTITE,"ZIMMER, 2010[2519]",EMP[68045],,50.23,0.66,17.64,0.02,,,,7.16,0.12,0.14,4.76,10.36,,2.14,0.64,0.27,,,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,369.0,3677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250.0,,,,,,,,,,,,,,,,,,,,,,79.6,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05EHPK-54,05EHPK-54,,Inclusion,53.49171,-166.57893,-668.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[64053],,52.17,0.22,2.71,0.67,,,,4.77,,0.12,17.27,21.24,,0.21,1.27,0.19,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,382.0,661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.0,,,,,,,,,,,,,,,,,,,,,,86.9,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-05MZPK-09,05MZPK-09,,Inclusion,53.49037,-166.56785,-350.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[64053],,39.99,0.77,0.01,0.01,,,,12.95,,0.27,46.69,0.26,,2.34,0.86,0.14,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,339.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.0,,,,,,,,,,,,,,,,,,,,,,86.5,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-84AU-112,84AU-112,,Mineral,59.33916,-153.41972,-820.0,,VOLCANIC_ARC,HYALOCLASTITE,"ZIMMER, 2010[2519]",EMP[64052],,39.12,0.02,19.23,0.04,,,,17.26,0.12,0.28,44.45,0.13,,1.76,0.19,0.02,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,214.0,3545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-97S-PS-31A,97S-PS-31A,,Mineral,54.68785,-163.85968,-1650.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[68045],,38.03,0.02,0.02,0.02,,,,24.93,0.02,0.43,35.92,0.28,,3.96,0.79,0.7,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,803.0,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.0,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-97S-PS-31B,97S-PS-31B,,Mineral,54.68785,-163.85968,-1650.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[68045],,51.64,2.83,0.03,0.0,,,,27.23,0.05,0.22,4.58,0.22,,3.1,0.81,0.91,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,387.0,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-97S-PS-31C,97S-PS-31C,,Whole Rock,54.68785,-163.85968,-1650.0,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,37.97,2.27,14.87,0.01,,,,25.95,,0.5,34.73,0.19,,3.26,0.96,0.73,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,,,,,,,,,,,,,,,,,,,,,,70.5,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-AKTN SUMMIT,AKTN SUMMIT,,Inclusion,54.13306,-165.9856,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",SIMS[62005],,71.98,0.54,1.98,,,,,1.36,,0.1,0.47,2.66,,2.12,0.88,0.2,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,984.0,1677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDb-2519-AV-10,AV-10,,Whole Rock,54.13306,-165.9856,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,55.11,0.95,18.88,,,,,8.15,,0.18,3.31,8.65,,3.5,0.9,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-F NE,F NE,,Whole Rock,55.3344,-162.0275,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,54.38,0.87,17.51,,,,,8.7,,0.16,4.76,8.82,,2.91,0.87,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-F SW,F SW,,Inclusion,55.3344,-162.0275,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",SIMS[62005],,60.1,0.25,0.97,0.06,,,,6.17,,0.17,1.35,3.89,,4.35,2.7,0.39,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,759.0,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-G1,G1,,Whole Rock,55.3344,-162.0275,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,55.87,0.86,16.78,,,,,8.39,,0.17,4.98,8.36,,3.05,1.21,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-H,H,,Mineral,55.3344,-162.0275,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",EMP[68045],,52.48,1.44,14.89,0.02,,,,11.19,0.04,0.34,4.1,18.91,,4.03,0.97,0.41,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1158.0,1382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0,,,,,,,,,,,,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,,,,,,
PETDB-2519-I,I,,Whole Rock,55.3344,-162.0275,,,VOLCANIC_ARC,TEPHRA,"ZIMMER, 2010[2519]",ICPAES[71975],,56.1,0.92,17.79,,,,,8.4,,0.16,4.09,7.37,,3.25,1.26,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
