SAMPLE_ID,SAMPLE_NAME,IGSN,SAMPLE_TYPE,LATITUDE,LONGITUDE,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,ROCK NAME,REFERENCE,METHOD,EXPEDITION ID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,V2O3,V2O5,Fe,Sr87_Sr86,Sr87_Sr86(I),Rb87_Sr86,E_Sr,Nd143_Nd144,Sm147_Nd144,E_Nd,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Hf176_Hf177,Lu176_Hf177,E_Hf,Re187_Os188,Os187_Os188,Os187_Os188(I),Be9,Be10,Be10_Be9,Sr87_Sr86(T),E_Tl,Ar40,Ar40_RG,Ar40_Ar36,Ar40_Ar39,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,CO2,F,Cl,Pa231,U234_U238_ACTIVITY,U238_Th230,U238_Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pa231_U235_ACTIVITY,Pb210,U238_Th230_ACTIVITY,Ag,As,Au,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,Hg,K,Li,Mo,Na,Nb,Ni,Os,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Zr,DELTA_B11,DELTA_D,DELTA_O18,AB[EM],AN[EM],OR[EM],FO[EM],FA[EM],EN[EM],FS[EM],WO[EM],TEMP,Age,OL[MODE],CPX[MODE],OPX[MODE],PLAG[MODE],OPAQ[MODE],MT[MODE],GM[MODE],VES[MODE],AMPH[MODE],FETI-OX[MODE],HORN[MODE],OX[MODE],PYR,SP[MODE],TI-MT[MODE]
DSDP018-0178-047R-001/141-145,178 47 1 141–145,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[61991],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP018-0178-057R-001/136-140,178 57 1 136–140,,Whole Rock,56.9585,-147.131,-4218.0,-4218.0,VOLCANIC_ARC,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[66016],DSDP018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183,DSDP-183,,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,BASALT,"VON DRACH, 1986[2565]",CALC[61568],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,0.70297,,,-21.7,0.512208,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-001R-002/140-141,"DSDP 183 1-2, 140-141",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,864000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-002R-003/052-054,183 2R 3 52–54,,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[61991],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-002R-003/054-055,"DSDP 183 2-3, 54-55",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1588000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-003R-001/090-091,"DSDP 183 3-1, 90-91",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,932000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-004R-002/092-093,"DSDP 183 4-2, 92-93",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,1058000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-004R-004/093-094,"DSDP 183 4-4, 93-94",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,280000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-005R-003/070-071,"DSDP 183 5-3, 70-71",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1071000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-005R-004/070-071,"DSDP 183 5-4, 70-71",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1223000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
