sample_id,material,SiO2,TiO2,Al2O3,FeO,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,method
KNO0115-012,GL,,,,,,,,,,,,,3.96,13.3,,11.4,3.94,1.44,5.33,,6.15,,3.86,3.82,0.59,DCP(485)
KNO0115-013-A,GL,,,,,,,,,,,,,4.08,13.07,,11.88,4,1.53,5.31,,6.46,,3.97,3.92,0.57,DCP(485)
KNO0115-014,GL,,,,,,,,,,,,,4.45,13.99,,11.84,4.03,1.49,5.22,,6.3,,3.96,3.89,0.58,DCP(485)
KNO0115-015,GL,,,,,,,,,,,,,3.51,11.03,,9.61,3.29,1.25,4.47,,5.39,,3.37,3.34,0.51,DCP(485)
KNO0115-016,GL,,,,,,,,,,,,,3.48,11.78,,10.64,3.62,1.37,4.83,,5.85,,3.69,3.62,0.54,DCP(485)
KNO0115-018-A,GL,,,,,,,,,,,,,2.38,7.47,,6.62,2.27,0.93,3.22,,3.94,,2.55,2.57,0.39,DCP(485)
KNO0115-018-B,GL,,,,,,,,,,,,,,9.81,,8.45,2.95,1.12,4.09,,4.74,,3.01,3,0.46,DCP(485)
KNO0115-019-B,GL,,,,,,,,,,,,,3.41,11.18,,9.94,3.45,1.31,4.6,,5.34,,3.38,3.3,0.51,DCP(485)
KNO0115-020,GL,,,,,,,,,,,,,3.95,12.6,,11.11,3.81,1.41,5.06,,5.99,,3.74,3.65,0.56,DCP(485)
KNO0115-022,GL,,,,,,,,,,,,,,14.93,,13.91,4.65,1.66,6.15,,7.51,,4.77,4.54,0.69,DCP(485)
KNO0115-024-A,GL,,,,,,,,,,,,,4.18,13.09,,11.95,4.18,1.5,5.58,,6.59,,4.17,4.03,0.62,DCP(485)
KNO0115-024-B,GL,,,,,,,,,,,,,4.8,15.87,,14.27,4.8,1.72,6.21,,7.68,,4.86,4.7,0.72,DCP(485)
KNO0115-025,GL,,,,,,,,,,,,,3.51,12.15,,11.07,3.9,1.43,5.18,,6.26,,3.95,3.81,0.58,DCP(485)
