Sample_ID,Material,SiO2,TiO2,Al2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,87Sr/86Sr,143Nd/144Nd,epsilon Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,epsilon Hf,He,3He,4He,3He/4He,4He/3He,3He/4He(R/Ra),La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Cs,Hf,Nb,Ni,Pb,Rb,Sc,Sr,Ta,Th,U,Y,Zr,Age,Latitude,Longitude,Elevation,Depth,Tectonic,Rock,Expedition,Reference,Method,Sample_ID.1,Material.1,Elevation_km
GIMNAUT-DR07-001,GL,47.9,0.89,17.49,10.21,,0.17,9.3,11.53,2.78,0.02,0.04,,0.7,0.51,5.72,18.79,15.58,38.69,,,,,,,,,1.2,4.41,0.87,4.99,1.96,0.82,2.96,0.59,4.15,0.96,3.03,,2.93,0.45,2.9,,0.01,1.38,0.64,,0.27,0.37,,90,0.07,0.05,0.02,28,53,,-19.69,65.34,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000C ,"NAURET, 2006",,GIMNAUT-DR07-001,GL,
REVDR04-022-D,GL,47.97,1.01,16.37,8.68,,0.16,9.1,13.31,2.57,0.06,0.05,,,,,,,,,,,,,,86266.39,8.28,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; MS,REVDR04-022-D,GL,-0.848
POL0059-199-1-001-03,GL,48.07,,,,,,8.5,,,0.05,,,0.7,0.51,8.54,18.61,15.52,38.24,,,,,,,,,1.86,,,6.37,,,,,,,,,,,8.1,,,,,,,0.68,,138,,0.08,0.03,,,,85.57,16.17,-4666,4666,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",HEALY 0102 ,"GOLDSTEIN, 2008",TIMS; EMP; ICPMS,POL0059-199-1-001-03,GL,-4.666
GIMNAUT-DR09-001,GL,48.14,1.06,17.71,10.12,,0.18,8.66,11.37,2.97,0.07,0.06,,0.7,0.51,5.23,18.7,15.57,38.73,,,,,,,,,2.1,6.67,1.18,6.33,2.22,0.89,3.02,0.57,3.74,0.81,2.47,,2.32,0.35,6.8,,0.01,1.62,1.48,,0.32,0.61,,132,0.1,0.12,0.04,24,69,,-19.65,65.68,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000C ,"NAURET, 2006",,GIMNAUT-DR09-001,GL,
REVDR04-022-B,GL,48.15,1.17,15.16,9.86,,0.17,8.28,13.24,2.67,0.05,0.07,,,,,,,,,,,,,,83056.48,8.6,1.86,6.52,1.28,7.31,2.83,1.08,3.8,0.72,4.76,1.05,3.04,0.45,2.8,0.42,7.76,340,,1.83,1.28,96.4,0.28,0.59,51.8,109,0.08,0.08,0.02,29.9,67.6,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-022-B,GL,-0.848
AII0107-6-056-027,GL,48.18,0.89,17.39,9.76,,,8.59,11.82,2.4,0.04,0.08,,,,,19.16,15.59,38.76,,,,,,,100321.03,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.4,5.14,-3122,3122,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",A107-06 ,"KURZ, 1982; MICHAEL, 1995; KURZ, 1998; MELSON, 2003",,AII0107-6-056-027,GL,-3.122
ALVIN2958-003,WR,48.2,3.65,12.53,17,,0.25,5.04,9.4,2.9,0.23,0.36,0.06,0.7,0.51,10.67,,,,,,,,,,,,8.9,26.6,,24.7,8.37,2.58,11.01,,13.51,,8.63,,8.07,,29,105,,,8.6,105,,1.8,48.2,105,,,,86.3,264,,44.43,-130.15,-2765,2765,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",ALVIN 2958 ,"CORDIER, 2007",ICPAES; IGN; TIMS; ICPMS,ALVIN2958-003,WR,-2.765
HLY0102-005-001,GL,48.23,,,,,,7.69,,,0.13,,,0.7,0.51,7.61,18.05,15.44,37.83,,,,,,,,,2.87,,,10.5,,,,,,,,,,,24,,,,,,,1.89,,217,,0.15,0.05,,,,84.44,2.12,-4098.5,4098.5,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",HEALY 0102 ,"GOLDSTEIN, 2008",TIMS; EMP; ICPMS,HLY0102-005-001,GL,-4.0985
GIMNAUT-DR10-001,GL,48.27,1.09,17.78,10.21,,0.15,8.32,11.44,2.94,0.07,0.08,,0.7,0.51,5.27,18.7,15.57,38.74,,,,,,,,,2.23,7.05,1.25,6.64,2.37,0.94,3.12,0.6,3.95,0.88,2.58,,2.42,0.37,7.4,,0.01,1.69,1.56,,0.34,0.66,,139,0.11,0.13,0.04,25,71,,-19.95,66.27,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000C ,"NAURET, 2006",,GIMNAUT-DR10-001,GL,
EWI0004-016-002,GL,48.32,2.18,15.61,10.59,,0.18,6.71,10.88,3.1,0.31,0.25,,,,,,,,,,,,,,92644.06,7.71,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,2.06,-91.75,-1872,1872,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-016-002,GL,-1.872
