Sample_ID,Material,SiO2,TiO2,Al2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,87Sr/86Sr,143Nd/144Nd,epsilon Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,epsilon Hf,He,3He,4He,3He/4He,4He/3He,3He/4He(R/Ra),La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Cs,Hf,Nb,Ni,Pb,Rb,Sc,Sr,Ta,Th,U,Y,Zr,Age,Latitude,Longitude,Elevation,Depth,Tectonic,Rock,Expedition,Reference,Method,Sample_ID.1,Material.1,Elevation_km
ATAPACA2-030-001,WR,50,1.94,14.05,12.45,,0.21,7,11.7,2.64,0.17,0.2,-0.27,0.7,0.51,8.23,18.89,15.57,38.31,0.28,11.83,,,,,106885,6.8,4.79,14.9,2.43,13.16,4.51,1.6,6.16,1.11,7.31,1.6,4.62,,4.47,0.65,13.8,,,3.55,4.4,,0.47,,,119,0.34,0.26,0.1,45,133,,-46.4,-112.87,-2345,2345,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",PACANTARCTIC2 ,"HAMELIN, 2010; HAMELIN, 2011; MOREIRA, 2008",ICPAES; IGN; ICPMS; TIMS,ATAPACA2-030-001,WR,-2.345
ATAPACA2-034-001,WR,50,1.3,15.1,10.44,,0.18,8,12.08,2.6,0.06,0.12,-0.22,0.7,0.51,9.17,18.8,15.55,38.23,0.28,13.2,,,,,98439,7.3,2.27,8.07,1.43,8.24,3.03,1.19,4.12,0.78,5.21,1.14,3.28,,3.17,0.45,2.5,,,2.13,1.17,,0.42,,,93,0.1,0.06,0.06,32,77,,-44.24,-112.03,-2422,2422,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",PACANTARCTIC2 ,"HAMELIN, 2010; HAMELIN, 2011; MOREIRA, 2008",ICPAES; IGN; ICPMS; TIMS,ATAPACA2-034-001,WR,-2.422
ATAPACA2-037-001,WR,50,1.45,14.6,11.05,,0.18,7.75,12.1,2.55,0.11,0.14,-0.21,0.7,0.51,8.84,18.72,15.54,38.11,0.28,11.8,,,,,,,2.9,9.86,1.68,9.39,3.33,1.27,4.4,0.84,5.5,1.19,3.46,,3.32,0.47,5.4,,,2.4,2.19,,0.44,,,110,0.16,0.11,0.05,34,88,,-42.27,-111.33,-2457,2457,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",PACANTARCTIC2 ,"HAMELIN, 2010; HAMELIN, 2011",ICPAES; IGN; ICPMS; TIMS,ATAPACA2-037-001,WR,-2.457
ATN0011-23-021105-0639,WR,50,1.54,15.6,9.8,,0.17,7.56,12,2.6,0.32,0.45,0.8,,,,18.65,15.53,38.12,,,,,,,,,5.19,15,2.38,11.88,3.84,1.31,4.93,0.87,5.73,1.24,3.4,,3.32,0.51,21.48,328,0.04,2.96,5.39,106,0.54,2.55,38.9,161,0.34,0.33,0.18,35,114,,-22.88,-112.06,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",AT11-23-23,"POLLOCK, 2009",DCP; ICPMS; TIMS; IGN,ATN0011-23-021105-0639,WR,
SON0040-020-005,WR,50,1.82,15.2,10.21169711,,0.19,7.99,11.2,2.78,0.07,0.16,,0.7,0.51,10.36,18.35,15.52,37.84,,,,,,,,,3.23,11.59,,,,,,,,,,,,,,,,,,,0.53,0.07,,89.7,,,,,,,-38.55,-92.61,-3525,3525,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",SO040 ,"BACH, 1996",XRF; TITR; MS; MS-ID,SON0040-020-005,WR,-3.525
MET64/1-194ROV-007,GL,50,1.31,15.2,8.58,,0.18,8.17,12.2,2.42,0.21,0.23,,0.7,0.51,8.31,19.07,15.59,38.81,0.28,12.34,,,,,,,11.16,27,3.94,19,5.44,1.88,6.35,1.07,6.79,1.38,3.71,0.55,3.48,0.51,86.3,95,0.08,4.08,15.89,47.9,0.79,7.17,43.8,222,0.97,1.03,0.32,36.4,164,,-9.57,-13.21,-1448,1448,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",METEOR 64/1 ,"PAULICK, 2010",XRF; ICPMS; TIMS; MC-ICP-MS,MET64/1-194ROV-007,GL,-1.448
CHRRI88-010-102,GL,50,1.32,14.68,10.09,,0.15,8.9,11.21,2.53,0.25,0.16,-0.63,0.7,0.51,9.52,18.48,15.53,38.03,,,,,,,,,5.59,13.9,,9.83,3.07,,,,,,,,,,,,,,,,0.46,3.89,,130.7,,0.47,0.15,,,,16.16,-46.66,-3650,3650,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RIDELENTE ,"DOSSO, 1993; HEMOND, 2006",NN; IGN; MS; MS-ID,CHRRI88-010-102,GL,-3.65
CHRRI88-020-201,WR,50,1.31,15.2,9.88,,0.15,8.5,12,2.65,0.11,0.13,-0.34,0.7,0.51,10.34,18.2,15.48,37.59,,,,,,,,,,,,7.73,2.6,,,,,,,,,,,,,,,,,0.46,,127,,,,,,,18.66,-46.28,-3920,3920,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RIDELENTE ,"DOSSO, 1993",NN; IGN; MS; MS-ID,CHRRI88-020-201,WR,-3.92
AGU0032-003-002,GL,50,2.23,14.27,23.91901287,,0.16,7.05,10.52,2.7,0.2,0.19,,0.7,0.51,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.12,-1.97,-2000,2000,FRACTURE_ZONE, ,AG32 ,"LE ROEX, 1987; LE ROUX, 2000",EMP; MS,AGU0032-003-002,GL,-2
DAR0080-019-001,WR,50.01,1.08,14.3,11.98,,0.19,8.49,11.78,2.04,0.09,0.09,-0.4,0.7,0.51,10.18,,,,,,,,,,,,1.62,5.06,,5.35,2.1,0.8,3.19,,4.49,,3.02,,2.93,0.44,10.54,,0.02,1.58,1.71,,0.32,0.99,,70.97,,0.08,0.07,28.33,60.13,,57.92,-32.42,-1625,1625,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; IGN; MS-ID,DAR0080-019-001,WR,-1.625
EWI9309-012-003,GL,50.01,1.11,16.31,10.39,,0.14,8.67,11.75,2.52,0.05,0.08,,0.7,0.51,8.13,18.17,15.52,37.99,0.28,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.76,-8,-3874,3874,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW9309 ,"DOUGLASS, 1999; LE ROUX, 2000; ANDRES, 2002; AGRANIER, 2005",MS; EMP; MC-ICP-MS,EWI9309-012-003,GL,-3.874
GIMNAUT-PL06-004,GL,50.01,1.14,16.21,9.65,,0.17,9.02,11.35,2.7,0.11,0.11,,0.7,0.51,7.04,18.52,15.53,38.47,,,,,,,,,3.36,9.34,1.55,7.98,2.71,1.04,3.67,0.7,4.52,0.99,2.94,,2.78,0.43,23,,0.03,2,3.37,,0.57,2.26,,121,0.2,0.26,0.07,29,81,,-19.17,65.54,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",GIMNAUT2000D ,"NAURET, 2006",,GIMNAUT-PL06-004,GL,
DAR0080-066-003,WR,50.02,1.1,15.11,11.64,,0.18,7.75,12.22,2.05,0.07,0.1,-0.83,0.7,0.51,10.28,18.2,,,,,,,,,,,1.71,5.36,,5.5,2.12,0.8,3.21,,4.58,,3.05,,2.97,0.41,12.81,,0.01,1.61,1.72,,0.3,1.05,,71.09,,0.08,0.06,27.84,62.58,,58.66,-31.35,-1175,1175,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"HILTON, 2000; MURTON, 2002",MS; XRF; ICPMS; IGN; MS-ID,DAR0080-066-003,WR,-1.175
EWI0004-031-004,GL,50.02,1.8,13.69,12.54,,0.24,6.43,10.83,2.61,0.18,0.13,,,,,,,,,,,,,,96655.71,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,-92.82,-2098,2098,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-031-004,GL,-2.098
MOA8801-010-001,GL,50.03,2.44,14.06,12.38,,0.2,6.56,10.42,3.1,0.14,0.26,,,,,18.66,15.49,38.17,0.28,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.24,127.59,-3200,3200,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",MW8801 ,"PYLE, 1994; HANAN, 2004",,MOA8801-010-001,GL,-3.2
CHR0098-004,WR,50.04,1.07,17.23,8.67,,0.16,7.04,13.67,2.51,0.03,0.08,,0.7,0.51,10.28,18.28,15.47,37.79,0.28,18.53,,,,,,,1.64,5.09,0.94,5.81,2.25,0.88,3.37,0.59,4.11,0.88,2.67,0.38,2.5,0.37,6.14,,,,,,0.03,0.36,,98.3,,,,22.6,54.6,,33.5,-39.08,-2240,2240,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CH98 (MAPCO) ,"DOSSO, 1999; DEBAILLE, 2006",MS-ID; MC-ICP-MS; ICPMS; ICPAES,CHR0098-004,WR,-2.24
DAR0080-044-004,WR,50.05,1.16,14.18,12.49,,0.19,7.96,11.57,2.13,0.08,0.1,-0.58,0.7,0.51,10.26,,,,,,,,,,,,1.72,5.46,,5.74,2.23,0.84,3.43,,4.78,,3.2,,3.11,0.46,12.22,,0.02,1.73,1.65,,0.36,1.04,,68.68,,0.08,0.06,29.77,65.11,,58.18,-32.07,-1650,1650,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; IGN; MS-ID,DAR0080-044-004,WR,-1.65
DAR0080-002-006,WR,50.05,1.04,14.43,11.81,,0.18,8.49,12,1.94,0.07,0.09,-0.58,0.7,0.51,10.57,,,,0.28,20.48,,,,,,,1.62,5.37,0.88,5.83,2.29,0.87,3.52,0.66,4.96,1.05,3.3,0.43,3.22,0.48,7.58,,0.01,1.65,1.12,,0.31,0.65,,70.19,0.08,0.07,0.04,28.45,53.44,,57.74,-32.69,-1575,1575,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002; KEMPTON, 2000",XRF; ICPMS; ICPMS-ID; IGN; MC-ICP-MS,DAR0080-002-006,WR,-1.575
MOA8801-002-001,GL,50.05,1.81,14.61,11.46,,0.19,7.28,11.23,2.92,0.09,0.19,,,,,18.59,15.48,38.12,0.28,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.31,129.53,-3200,3200,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",MW8801 ,"PYLE, 1994; HANAN, 2004",,MOA8801-002-001,GL,-3.2
CYA1978-018-062,GL,50.06,1.3,15.06,9.23,,0.11,8.65,11.08,2.77,0.06,,,0.7,0.51,9.38,18.56,15.54,38.09,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,80.03,,20.87,-109.07,-2600,2600,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CYANA1978 (CYAMEX) ,"SCHIANO, 1997; DAVID, 2000",MS; EMP; MS-ID,CYA1978-018-062,GL,-2.6
MELPHNX-2-066-002,GL,50.06,2.81,12.99,13.91,0.03,0.15,5.76,9.82,2.76,0.21,0.25,,0.7,0.51,10.24,18.3,15.46,37.66,,,,,,,,,6.18,19.6,3.54,17.8,5.97,2.12,8.21,1.37,9.29,2.02,5.84,0.83,5.45,0.81,20.9,161,0.03,4.54,5.68,71.9,0.6,2.25,42.8,112,0.39,0.29,0.12,51.9,163,,10.47,-103.65,-3074.5,3074.5,OFF-AXIS_SPREADING_CENTER,"IVM, igneous:volcanic:mafic",PHNX02MV ,"REGELOUS, 1999; DANYUSHEVSKY, 2000",MS; ICPMS; EMP,MELPHNX-2-066-002,GL,-3.0745
CON2802-025-001,GL,50.06,1.41,15.74,9.48,,,8.08,11.68,2.7,0.06,0.17,,,,,,,,,,,,,,92524.06,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.47,-13.77,-3750,3750,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RC2802 ,"GRAHAM, 1996; MELSON, 2003",MS; EMP,CON2802-025-001,GL,-3.75
MET07/3-23275,WR,50.06,1.12,15.24,9.8,,0.16,8.82,11.8,2.2,0.31,0.14,,0.7,0.51,5.83,18.27,15.42,37.94,,,,,,,,,6.36,14.6,2.03,9.48,2.74,0.94,3.3,0.57,3.67,0.77,2.31,0.34,2.13,0.33,94.8,366,0.11,1.68,8.36,149,0.6,8.51,38.5,132,,0.6,0.2,23.4,64.5,,71.97,-0.73,-2671,2671,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",METEOR 7/3 ,"HAASE, 1996",XRF; ICPMS,MET07/3-23275,WR,-2.671
DAR0080-116-006,WR,50.06,1.04,14.28,12.34,,0.19,7.71,12.08,2.02,0.04,0.08,-0.8,0.7,0.51,10.26,18.21,,,,,,,,,,,1.31,4.39,0.79,5.01,2.05,0.8,3.29,0.66,4.66,1.06,3.13,0.45,3.06,0.45,6.4,,0.01,1.57,1.07,,,0.67,,68.13,0.08,0.06,0.03,28.92,50.99,,60.08,-29.26,-1000,1000,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"HILTON, 2000; MURTON, 2002",MS; XRF; ICPMS; ICPMS-ID; IGN,DAR0080-116-006,WR,-1
ABP0016-028-001,GL,50.06,0.9,15.94,8.9,,,9.61,12.63,1.94,0.1,0.11,,0.7,0.51,9.09,18.77,15.53,38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,-37.76,-2844,2844,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",ABP0016 ,"SMITH, 1998; MELSON, 2003",MS; EMP,ABP0016-028-001,GL,-2.844
KNO0115-005-001,GL,50.06,1.04,15.7,,,0.16,9.51,11.8,2.43,0.05,0.09,,,0.51,10.75,,,,0.28,20.48,,,,,,,,,,,,,,,,,,,,,4.04,,,1.58,,,,,,,,0.07,0.02,,,,25.73,-45.11,-3725,3725,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",KN115 ,"CHRISTIE, 1986; SALTERS, 1996; AREVALO JR, 2008",DCP; SP-PH; MS; MS-ID; LA-ICPMS; EMP,KNO0115-005-001,GL,-3.725
AII0107-6-057-005,GL,50.06,1.88,15.22,9.86,,,7.68,10.98,2.89,0.36,0.2,,,,,18.75,15.56,38.57,,,,,,,95748.76,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.05,7.22,-1920,1920,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",A107-06 ,"KURZ, 1982; KURZ, 1998; MELSON, 2003",,AII0107-6-057-005,GL,-1.92
CHR0098-011,WR,50.07,1.5,14.67,11.43,,0.18,8.83,11.35,2.57,0.08,0.14,,0.7,0.51,10.85,18.14,15.44,37.6,0.28,17.75,,,,,,,2.46,8.42,1.53,8.42,3.16,1.19,4.84,0.83,5.45,1.16,3.49,0.49,3.22,0.48,7.54,,0.01,2.64,1.69,,0.32,0.62,,93.8,0.15,0.11,0.05,30.9,89.2,,30.68,-41.82,-3500,3500,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CH98 (MAPCO) ,"CHAUVEL, 2001; DEBAILLE, 2006",ICPMS; MC-ICP-MS; ICPAES,CHR0098-011,WR,-3.5
DAR0080-092-001,WR,50.07,1.19,14.43,12.93,,0.2,7.3,11.67,2.1,0.07,0.1,-0.6,0.7,0.51,10.03,,,,,,,,,,,,1.75,5.53,0.97,5.92,2.32,0.89,3.6,0.73,5.1,1.17,3.42,0.48,3.33,0.49,12.35,,0.02,1.8,1.68,,0.85,1.05,,74.04,0.12,0.1,0.05,31.63,61.54,,59.26,-30.58,-1175,1175,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; ICPMS-ID; IGN,DAR0080-092-001,WR,-1.175
END0113-005-001,GL,50.08,1.07,15.72,9.21,,0.18,9.21,12.01,2.41,,0.12,,0.7,0.51,8.6,18.67,15.52,38.17,0.28,13.51,,,,,,,2.13,6.27,,5.88,2.19,,,,,,,,,,,,,1.59,,,0.26,0.45,,100.8,,0.07,0.03,,,,-27.21,-112.77,-2632,2632,SPREADING_CENTER, ,EN113 ,"HANAN, 1989; SCHILLING, 1985; KINGSLEY, 2002; FONTIGNIE, 1991; KINGSLEY, 2007",MS; EMP; ICPMS; MS-ID,END0113-005-001,GL,-2.632
WFL2000-RC17,GL,50.08,1.27,16.52,8.8,,0.17,7.98,12.07,2.57,0.16,0.13,,0.7,0.51,11.65,18.35,15.47,37.76,,,,,,,,,4.97,12.08,1.88,9.08,3.07,1.1,3.93,0.73,4.65,1,2.89,0.43,2.75,0.44,45.2,,0.05,2.24,6.14,,0.43,4.01,35.7,143.4,0.38,0.33,0.08,29.6,82,,42.75,-126.74,-3088,3088,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",WESTERNFLYER-TIBURON-2000 ,"DAVIS, 2008",EMP; ICPMS,WFL2000-RC17,GL,-3.088
EWI9309-026-001,GL,50.08,1.84,14.63,12.51,,0.16,7.06,11.07,3.09,0.12,0.15,,0.7,0.51,6.4,18.02,15.52,37.99,0.28,12.09,,,,,94124,7.59,4.74,13.4,,13.2,4.8,1.3,6.02,,7.86,,4.5,,4.39,,17.4,,,,2.5,73,,1.23,48,109,,0.27,,43,125,,-47.35,-13.4,-3857,3857,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW9309 ,"DOUGLASS, 1999; SARDA, 2000; LE ROUX, 2000; ANDRES, 2002; LE ROUX, 2001; AGRANIER, 2005",MS; CALC; EMP; MC-ICP-MS; LA-ICPMS,EWI9309-026-001,GL,-3.857
EWI9309-030-001,GL,50.08,1.31,15.85,10.57,,0.15,8.36,11.55,2.89,0.16,0.11,,0.7,0.51,4.9,18.01,15.53,38.07,0.28,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.59,-13.39,-3153,3153,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW9309 ,"DOUGLASS, 1999; LE ROUX, 2000; ANDRES, 2002; AGRANIER, 2005",MS; EMP; MC-ICP-MS,EWI9309-030-001,GL,-3.153
MELVULC-5-030-060,GL,50.08,1.84,15.91,9.52,,,7.13,10.88,3.25,0.28,0.21,,0.7,,,18.53,15.55,38.12,,,,,,,73561.87,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.47,-7.01,-3794,3794,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",VULC05MV ,"LE ROEX, 1985; KURZ, 1998; MELSON, 2003",MS; EMP,MELVULC-5-030-060,GL,-3.794
MELPROT-5-011-017,WR,50.08,1.79,17.49,8.72,,0.12,5.71,10.75,2.55,0.06,0.22,2.56,0.7,0.51,8.19,18.46,15.49,38.05,,,,,,,,,5.37,17,2.81,15.8,5.07,1.54,5.55,0.97,6.24,1.27,3.51,0.51,3.03,0.44,5.66,,0.05,2.35,3.69,,0.27,1.68,,126.4,,0.12,0.04,34.5,,,-53.16,25.49,-5100,5100,FRACTURE_ZONE, ,PROTEA-5,"MAHONEY, 1992; JANNEY, 2005",,MELPROT-5-011-017,WR,-5.1
AII0127-1-008,GL,50.08,0.81,16.26,8.51,,0.15,9.43,12.31,2.24,0.04,0.07,,0.7,0.51,10.26,18.48,15.52,38.1,,,,,,,,,1.61,,,4.71,1.77,,,,,,,,,,,,,,,,,1.08,,,,,,,,,34.71,-36.49,-2789,2789,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",A127-01 ,"LANGMUIR, 1998; DOSSO, 1999",EMP; MS-ID,AII0127-1-008,GL,-2.789
EWI0004-067-001,GL,50.09,1.4,15.18,10.55,,0.19,7.82,11.92,2.22,0.11,0.14,,,,,,,,,,,,,,105977.11,6.74,,,,,,,,,,,,,,,,,,,,,,,,93.6,,,,,,,2.63,-95.03,-2621,2621,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-067-001,GL,-2.621
EWI0004-028-001,GL,50.09,1.6,14.22,10.95,,0.21,7.02,11.85,2.45,0.22,0.14,,,,,,,,,,,,,,95877.28,7.45,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,2.19,-92.52,-1863,1863,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-028-001,GL,-1.863
EWI9309-039-001,GL,50.09,1.64,15.49,10.27,,0.15,8.25,10.58,2.97,0.15,0.17,,0.7,0.51,5.17,17.99,15.52,38.05,0.28,11.78,,,,,,,4.06,10.8,,9.62,3.85,1.36,5.12,,5.82,,3.33,,3.85,,24,,,,3.31,148,,2.15,41,123,,0.25,,36,100,,-44.68,-15.39,-3534,3534,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW9309 ,"DOUGLASS, 1999; LE ROUX, 2000; ANDRES, 2002; LE ROUX, 2002; LE ROUX, 2001; AGRANIER, 2005",MS; EMP; MC-ICP-MS; LA-ICPMS,EWI9309-039-001,GL,-3.534
DAR0080-040-003,WR,50.09,1.09,14.47,12.2,,0.19,7.83,11.85,2.04,0.06,0.09,-0.8,0.7,,,18.11,,,0.28,19.52,,,,,,,1.47,4.96,0.9,5.54,2.19,0.85,3.39,0.69,4.79,1.09,3.2,0.45,3.1,0.45,9.51,,0.01,1.7,1.09,,0.35,0.64,,72.84,0.08,0.06,0.04,29.68,54.76,,58.11,-32.2,-1625,1625,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"HILTON, 2000; MURTON, 2002; KEMPTON, 2000",MS; XRF; ICPMS; ICPMS-ID; IGN; MC-ICP-MS,DAR0080-040-003,WR,-1.625
DAR0080-011-001,WR,50.09,1.1,14.45,11.81,,0.18,8.36,11.69,1.99,0.05,0.09,-0.91,0.7,0.51,10.65,,,,,,,,,,,,,4.42,,5.01,2,0.76,,,,,,,2.8,,7.48,,0.01,1.75,1.18,,0.34,0.63,,71.07,0.09,0.06,0.03,29.54,57.87,,57.84,-32.61,-2150,2150,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; IGN; MS-ID,DAR0080-011-001,WR,-2.15
MOA8801-016-001,GL,50.09,1.43,15.37,9.68,,0.17,7.84,11.64,3.12,0.05,0.13,,0.7,0.51,8.78,18.73,15.49,38.22,0.28,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.16,127.58,-3500,3500,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",MW8801 ,"PYLE, 1992; PYLE, 1994; HANAN, 2004",,MOA8801-016-001,GL,-3.5
ALV0910-R004,GL,50.1,1.27,16.18,8.98,,0.21,8.23,12.23,2.56,0.05,0.1,,0.7,0.51,9.58,,,,,,,,,,,,,,,8.07,2.81,,,,,,,,,,,,,,,,,0.47,,128,,,,,,,20.88,-109.08,-2633,2633,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",ALVIN 0910 ,"MACDOUGALL, 1986; BYERS, 1986",MS; MS-ID; EMP,ALV0910-R004,GL,-2.633
ALV2746-007,GL,50.1,1.23,15.5,9.22,,0.16,8.65,12.26,2.59,0.12,0.12,,0.7,0.51,11,,,,0.28,14.32,,,,,,,2.8,8.8,1.5,8,2.8,1.1,4.1,0.73,4.6,1,2.7,,2.8,0.43,9,,,2.5,2.6,95,,0.8,,,,,,,,,9.82,-104.29,-2516,2516,OFF-AXIS_SPREADING_CENTER,"IVM, igneous:volcanic:mafic",ALVIN 2746 ,"SIMS, 2003",MS; MC-ICP-MS; ICPMS-ID; EMP,ALV2746-007,GL,-2.516
ALV4082-2002,WR,50.1,1.72,13.7,13.7,,0.25,7.78,10,2.37,0.06,0.37,1.8,,,,18.35,15.51,37.81,,,,,,,,,2.65,9.56,1.74,9.65,3.47,1.08,4.18,0.78,6.05,1.3,3.12,,3.93,0.59,2.9,150,0.01,1.76,1.81,65,0.23,,42.2,79,0.15,0.07,0.03,36,101,,-22.97,-111.88,,,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",ALVIN 4082 ,"POLLOCK, 2009",DCP; ICPMS; TIMS; IGN,ALV4082-2002,WR,
SON0040-031-006,WR,50.1,1.3,15.2,9.363730766,,0.17,8.94,11.7,2.33,0.06,0.12,,0.7,0.51,10.38,18.23,15.56,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,88.3,,,,,,,-38.1,-93.92,-2190,2190,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",SO040 ,"BACH, 1996",XRF; TITR; MS; MS-ID,SON0040-031-006,WR,-2.19
EWI9309-015-001,GL,50.1,1.64,14.64,12,,0.17,7.81,11.45,2.49,0.14,0.13,,0.7,0.51,7.22,18.47,15.54,38.29,0.28,12.73,,,,,92114,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.58,-6.43,-2980,2980,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW9309 ,"DOUGLASS, 1999; LE ROUX, 2000; ANDRES, 2002; AGRANIER, 2005; MOREIRA, 1995",MS; EMP; MC-ICP-MS,EWI9309-015-001,GL,-2.98
AII0107-7-006-020,GL,50.1,1.33,15.88,9.55,,,7.84,11.86,2.71,0.1,0.15,,0.7,0.51,5.27,18.12,15.51,38.06,0.28,10.93,,,,,88401.7,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.25,-16.6,-2420,2420,SPREADING_CENTER, ,A107-07 ,"HANAN, 1986; FONTIGNIE, 1996; KURZ, 1982; MELSON, 2003; ANDRES, 2002; AGRANIER, 2005",MS; CALC; EMP; MC-ICP-MS,AII0107-7-006-020,GL,-2.42
DAR0080-033A-001,WR,50.1,1.01,14.85,11.44,,0.18,7.77,12.18,1.99,0.07,0.09,-0.47,0.7,,,18.1,,,,,,,,,,,1.51,4.75,0.85,5.12,2,0.77,3.09,0.62,4.35,1,2.88,0.42,2.82,0.42,9.11,,0.01,1.56,1.43,,0.18,0.87,,70.92,0.11,0.08,0.07,27.46,52.82,,58.04,-32.29,-1700,1700,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"HILTON, 2000; MURTON, 2002",MS; XRF; ICPMS; ICPMS-ID; IGN,DAR0080-033A-001,WR,-1.7
DAR0080-028-003,WR,50.1,1.06,14.61,11.61,,0.18,8.15,12.08,2.04,0.05,0.09,-0.47,0.7,0.51,10.18,,,,,,,,,,,,1.42,4.69,,5.31,2.12,0.82,3.3,,4.67,,3.1,,2.99,0.44,7.47,,0.01,1.54,1.23,,0.24,0.65,,68.56,,0.07,0.04,28.16,52.38,,57.99,-32.34,-1625,1625,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; IGN; MS-ID,DAR0080-028-003,WR,-1.625
CHRRI88-024-101,GL,50.1,1.6,15.95,10.39,,0.16,7.43,11.59,2.76,0.11,0.15,,0.7,0.51,10.22,18.32,15.49,37.72,,,,,,,,,3.6,12,,10.98,3.71,,,,,,,,,,,,,,,,0.45,0.61,,135.4,,0.15,0.05,,,,19.38,-45.98,-3540,3540,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RIDELENTE ,"DOSSO, 1993; HEMOND, 2006",NN; MS; MS-ID,CHRRI88-024-101,GL,-3.54
